HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;PSH;PSD;PSA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Ath Bilbao;Barcelona;1;0;H;0;0;D;11;11;5;2;14;9;3;8;1;1;0;0;525;38;165;55;38;165;5;38;175;55;395;176;507;381;171
Alaves;Las Palmas;1;0;H;0;0;D;9;16;2;4;18;15;2;9;2;1;0;0;215;32;36;215;33;36;225;33;33;231;34;36;223;325;343
Las Palmas;Leganes;2;0;H;0;0;D;16;15;3;4;9;10;6;6;2;2;0;0;2;35;375;2;35;38;205;36;38;205;368;385;201;356;374
Sociedad;Ath Madrid;2;0;H;0;0;D;14;12;5;2;13;10;5;5;1;3;0;0;38;32;21;39;3;215;375;325;215;39;325;225;373;315;217
Villarreal;Leganes;2;0;H;0;0;D;18;7;6;3;12;8;4;8;2;1;0;0;161;4;55;16;42;525;157;41;575;163;441;61;159;419;561
Girona;Celta;2;0;H;0;0;D;7;3;3;2;17;15;6;5;3;1;0;0;225;33;325;23;33;32;238;33;3;242;345;334;236;33;313
Alaves;Mallorca;2;0;H;0;0;D;11;5;6;1;16;14;4;1;2;3;0;0;22;32;35;225;31;35;22;313;35;233;322;375;225;313;352
Celta;Ath Bilbao;1;0;H;0;0;D;13;6;2;2;8;20;6;4;0;5;0;0;27;3;287;275;3;28;27;3;28;282;312;31;27;304;287
Getafe;Valladolid;2;0;H;0;0;D;5;7;2;3;17;19;2;3;1;4;0;0;185;31;525;183;31;55;183;32;52;19;333;55;184;321;517
Alaves;Celta;2;0;H;0;0;D;12;14;5;2;20;5;4;6;5;1;0;0;29;3;262;31;295;26;29;3;263;31;31;28;296;3;265
Sevilla;Las Palmas;1;0;H;0;0;D;19;12;5;5;10;11;9;1;2;2;0;0;133;55;9;133;55;85;13;55;85;138;575;98;133;553;864
Vallecano;Betis;1;0;H;0;0;D;13;12;3;0;13;8;4;2;3;4;0;0;245;32;3;25;33;285;24;34;288;262;346;3;25;333;287
Sevilla;Getafe;2;0;H;0;0;D;15;9;8;4;13;18;5;0;2;3;0;0;172;33;6;172;35;55;17;36;52;178;38;6;173;362;522
Valencia;Vallecano;2;0;H;0;0;D;12;13;4;1;11;15;7;4;0;5;0;0;161;37;6;162;37;625;165;37;575;173;38;63;167;363;587
Sevilla;Valladolid;1;0;H;0;0;D;16;8;8;4;16;7;7;4;3;3;0;0;157;4;6;153;4;675;153;39;65;157;43;746;153;401;686
Getafe;Las Palmas;4;0;H;0;0;D;13;7;9;2;22;14;6;7;2;3;0;0;166;38;55;167;37;55;167;375;52;173;395;56;168;377;532
Ath Madrid;Osasuna;2;0;H;0;0;D;19;15;9;3;16;10;6;5;2;1;0;0;14;433;10;14;433;925;14;43;95;143;445;1151;14;427;1006
Osasuna;Las Palmas;2;0;H;0;0;D;15;6;3;2;18;11;5;5;3;3;0;0;166;4;475;17;41;46;167;41;475;175;42;5;169;407;478
Valencia;Barcelona;2;0;H;0;0;D;8;14;6;5;13;16;2;0;1;3;0;0;5;433;161;475;425;165;48;43;162;506;457;17;477;429;165
Sociedad;Mallorca;3;0;H;0;0;D;14;8;5;4;15;7;7;3;0;2;0;0;145;433;75;142;475;75;145;46;65;149;475;768;145;454;705
Real Madrid;Ath Madrid;1;0;H;0;0;D;16;4;5;1;18;11;5;6;2;3;0;0;18;35;475;183;35;45;18;35;46;185;375;485;18;357;463
Valencia;Celta;1;0;H;0;0;D;9;11;5;4;14;20;4;7;6;3;0;0;18;36;45;18;36;46;18;36;45;186;38;48;181;361;455
Espagnol;Mallorca;1;0;H;0;0;D;12;7;7;3;26;15;1;7;6;2;0;0;161;4;55;165;38;55;165;38;525;17;405;58;165;387;543
Mallorca;Alaves;1;0;H;0;0;D;14;10;6;0;16;15;8;5;0;2;0;0;24;32;31;245;31;31;24;32;3;25;324;323;244;313;311
Las Palmas;Real Madrid;1;0;H;0;0;D;8;19;2;7;16;10;3;7;1;2;0;0;6;5;144;575;5;148;6;5;144;7;52;149;62;493;146
Sociedad;Leganes;1;0;H;0;0;D;13;6;4;1;15;11;8;4;1;1;0;0;153;4;7;155;4;65;153;41;6;158;434;71;154;404;663
Ath Bilbao;Villarreal;1;0;H;0;0;D;18;10;6;3;11;13;5;6;6;6;0;0;23;33;32;23;325;32;225;33;32;247;341;335;231;329;318
Real Madrid;Barcelona;2;0;H;0;0;D;13;9;5;4;13;10;8;2;2;2;0;0;22;36;31;22;38;3;215;37;313;23;38;325;219;366;313
Barcelona;Sociedad;1;0;H;0;0;D;13;9;6;1;12;10;4;4;4;3;0;0;133;55;85;134;55;8;136;525;75;139;57;858;136;538;791
Sevilla;Betis;2;0;H;0;0;D;13;12;5;1;13;16;11;2;0;2;0;0;18;375;433;183;37;425;183;37;42;192;388;48;185;368;435
Ath Madrid;Leganes;1;0;H;0;0;D;15;6;4;2;14;12;10;1;4;2;0;0;136;45;11;14;433;95;14;433;9;141;475;12;138;448;986
Barcelona;Ath Bilbao;1;0;H;0;0;D;18;6;4;0;10;16;6;2;2;1;0;0;13;525;10;133;55;85;133;525;9;136;575;11;133;535;942
Betis;Espagnol;1;0;H;0;0;D;13;9;6;2;18;18;6;5;4;4;0;0;215;33;34;22;33;34;215;34;33;233;355;348;22;336;334
Real Madrid;Getafe;1;0;H;0;0;D;8;10;4;3;15;22;6;5;5;5;0;0;136;475;85;136;5;9;136;48;85;142;52;1056;138;483;876
Leganes;Alaves;1;0;H;0;0;D;5;7;3;0;13;17;1;3;0;0;0;0;262;28;32;265;27;33;26;28;32;265;291;358;26;278;328
Sevilla;Girona;1;0;H;0;0;D;8;19;3;3;11;16;11;8;2;1;0;0;144;433;8;148;44;675;145;42;75;15;46;9;146;436;741
