HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;PSH;PSD;PSA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Ath Bilbao;Barcelona;1;0;H;0;0;D;11;11;5;2;14;9;3;8;1;1;0;0;525;38;165;55;38;165;5;38;175;55;395;176;507;381;171
Celta;Real Madrid;1;3;A;0;1;A;7;17;4;11;17;12;6;4;5;2;0;1;475;42;165;44;42;172;475;42;173;53;44;173;467;412;169
Valencia;Sociedad;1;1;D;0;0;D;14;12;6;3;13;14;3;3;4;4;1;0;166;375;55;167;375;55;167;39;575;172;398;575;168;38;529
Mallorca;Girona;2;1;H;1;0;H;16;11;4;5;13;14;9;3;2;3;0;0;28;32;26;295;31;26;29;313;27;305;32;27;291;309;262
Oviedo;Osasuna;0;1;A;0;0;D;13;4;2;2;17;11;8;0;1;4;1;0;2;32;42;205;325;39;21;32;41;21;33;425;206;318;402
Villarreal;Vallecano;4;4;D;1;1;D;12;14;7;7;10;16;2;7;3;1;0;0;16;38;65;16;38;625;165;4;575;165;415;65;161;395;58
Alaves;Levante;1;0;H;0;0;D;9;16;2;4;18;15;2;9;2;1;0;0;215;32;36;215;33;36;225;33;33;231;34;36;223;325;343
Espanol;Sevilla;0;2;A;0;1;A;7;12;2;4;11;17;8;4;2;2;0;0;32;33;23;31;34;23;3;35;23;32;356;24;308;341;233
Betis;Elche;1;2;A;0;0;D;13;14;4;3;11;19;6;1;2;6;1;0;166;375;55;165;375;575;162;38;575;167;39;65;164;376;578
Ath Madrid;Getafe;1;0;H;1;0;H;5;6;5;0;19;22;3;4;3;4;1;1;144;433;8;145;433;75;145;42;8;152;45;85;147;423;763
Vallecano;Sevilla;0;1;A;0;0;D;12;11;0;6;13;14;6;6;1;1;0;0;36;36;195;39;34;191;41;36;195;433;375;2;395;358;194
Levante;Villarreal;2;1;H;0;1;A;16;23;4;6;5;9;7;3;1;2;0;0;255;34;262;255;34;26;263;36;27;267;374;27;259;354;263
Osasuna;Girona;0;0;D;0;0;D;6;12;2;0;15;12;6;6;4;4;0;0;25;32;29;25;31;29;26;32;3;26;33;313;253;312;299
Real Madrid;Elche;1;1;D;0;0;D;22;9;4;2;12;11;4;3;2;2;0;0;12;65;13;12;675;115;122;7;15;123;76;15;121;697;1316
